trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.9, 'e': 0.5771921449610977}",35,22,4.404483334745578,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
43,False,"{'a': 0.9, 'e': 0.5696886470766035}",25,0,-39.09981976116124,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
44,False,"{'a': 0.9, 'e': 0.5622826946646077}",25,15,6.645954327015933,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 0.9, 'e': 0.5549730196339677}",30,0,-126.4891946384556,"{0: 20, 1: 3, 2: 5, 3: 0, 4: 2}",0
46,False,"{'a': 0.9, 'e': 0.5477583703787261}",20,14,11.071496649620993,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.9, 'e': 0.5406375115638027}",20,0,13.976467996414495,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
48,False,"{'a': 0.9, 'e': 0.5336092239134732}",25,0,-3.19794881557445,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
49,False,"{'a': 0.9, 'e': 0.526672304002598}",25,0,-75.22811143370379,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
50,False,"{'a': 0.9, 'e': 0.5198255640505642}",20,0,-11.389888771389813,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
51,False,"{'a': 0.9, 'e': 0.5130678317179069}",20,0,-34.360754368645495,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
52,False,"{'a': 0.9, 'e': 0.5063979499055742}",25,0,-85.24208672200268,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
53,False,"{'a': 0.9, 'e': 0.49981477655680173}",25,7,-50.23917996755911,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 1}",1
54,False,"{'a': 0.9, 'e': 0.4933171844615633}",20,0,-24.094832849578975,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
55,False,"{'a': 0.9, 'e': 0.486904061063563}",25,0,-97.1906248403465,"{0: 19, 1: 2, 2: 1, 3: 1, 4: 2}",1
56,False,"{'a': 0.9, 'e': 0.4805743082697367}",35,0,-40.721340462485486,"{0: 26, 1: 4, 2: 5, 3: 0, 4: 0}",0
57,False,"{'a': 0.9, 'e': 0.4743268422622301}",25,11,10.392235562346096,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
58,False,"{'a': 0.9, 'e': 0.4681605933128211}",35,0,-82.14638087267016,"{0: 27, 1: 3, 2: 2, 3: 2, 4: 1}",0
59,False,"{'a': 0.9, 'e': 0.46207450559975444}",25,14,-21.915134641979623,"{0: 8, 1: 1, 2: 1, 3: 1, 4: 0}",1
60,False,"{'a': 0.9, 'e': 0.4560675370269576}",20,0,14.588974775196094,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
61,False,"{'a': 0.9, 'e': 0.4501386590456072}",25,3,-61.52502981756831,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 2}",1
62,False,"{'a': 0.9, 'e': 0.4442868564780143}",30,16,-48.59163788909783,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 1}",1
63,False,"{'a': 0.9, 'e': 0.4385111273438001}",20,11,10.740164591082541,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.9, 'e': 0.43281048268833067}",20,5,-12.207321375063557,"{0: 11, 1: 2, 2: 2, 3: 0, 4: 0}",1
65,False,"{'a': 0.9, 'e': 0.42718394641338236}",30,17,-39.08490890826355,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 1}",1
66,False,"{'a': 0.9, 'e': 0.4216305551100084}",25,0,-68.13010490987486,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
67,False,"{'a': 0.9, 'e': 0.4161493578935783}",30,0,-53.32271535531374,"{0: 26, 1: 2, 2: 0, 3: 0, 4: 2}",0
68,False,"{'a': 0.9, 'e': 0.4107394162409618}",25,0,-68.48336745914956,"{0: 18, 1: 1, 2: 4, 3: 2, 4: 0}",0
69,False,"{'a': 0.9, 'e': 0.40539980382982926}",20,0,-26.427000707287107,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",0
70,False,"{'a': 0.9, 'e': 0.40012960638004147}",25,0,-19.354811393626697,"{0: 19, 1: 4, 2: 2, 3: 0, 4: 0}",0
71,False,"{'a': 0.9, 'e': 0.39492792149710093}",20,0,-5.705790132326126,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
72,False,"{'a': 0.9, 'e': 0.3897938585176386}",25,3,-26.179713185584895,"{0: 18, 1: 0, 2: 3, 3: 1, 4: 0}",1
73,False,"{'a': 0.9, 'e': 0.3847265383569093}",25,20,9.154691919658488,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.9, 'e': 0.3797250933582695}",30,0,-71.25502740849016,"{0: 25, 1: 1, 2: 2, 3: 0, 4: 2}",0
75,False,"{'a': 0.9, 'e': 0.37478866714461195}",20,0,-25.225071436693977,"{0: 13, 1: 5, 2: 2, 3: 0, 4: 0}",0
76,False,"{'a': 0.9, 'e': 0.369916414471732}",25,16,12.93625614570849,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.9, 'e': 0.3651075010835995}",35,3,13.721769966022773,"{0: 28, 1: 3, 2: 1, 3: 0, 4: 0}",1
78,False,"{'a': 0.9, 'e': 0.36036110356951273}",20,0,-120.26654274532017,"{0: 14, 1: 3, 2: 0, 3: 0, 4: 3}",0
79,False,"{'a': 0.9, 'e': 0.35567640922310906}",25,13,-19.84551507729179,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
80,False,"{'a': 0.9, 'e': 0.35105261590320863}",20,1,0.6913474202453267,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 0}",1
81,False,"{'a': 0.9, 'e': 0.3464889318964669}",25,13,13.02307991221243,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
82,False,"{'a': 0.9, 'e': 0.34198457578181285}",20,0,-37.13795481590856,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
83,False,"{'a': 0.9, 'e': 0.3375387762966493}",25,9,13.183597390239203,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
84,False,"{'a': 0.9, 'e': 0.33315077220479283}",30,5,17.425233032875106,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",1
85,False,"{'a': 0.9, 'e': 0.32881981216613054}",25,0,-1.0588531372916572,"{0: 21, 1: 3, 2: 1, 3: 0, 4: 0}",0
86,False,"{'a': 0.9, 'e': 0.32454515460797084}",25,12,-69.009346258645,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 2}",1
87,False,"{'a': 0.9, 'e': 0.3203260675980672}",35,1,-76.66032192789682,"{0: 27, 1: 3, 2: 2, 3: 0, 4: 2}",1
88,False,"{'a': 0.9, 'e': 0.3161618287192923}",20,5,23.585100046581818,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.9, 'e': 0.3120517249459415}",25,13,-0.23711935714458776,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
