trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
184,False,"{'a': 0.9, 'e': 0.09002354093114943}",20,11,14.045011680883038,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
185,False,"{'a': 0.9, 'e': 0.0888532348990445}",20,7,23.463183127656116,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
186,False,"{'a': 0.9, 'e': 0.08769814284535692}",20,10,18.850932365660935,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
187,False,"{'a': 0.9, 'e': 0.08655806698836728}",25,3,31.8316838368343,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
188,False,"{'a': 0.9, 'e': 0.0854328121175185}",30,15,27.36753212013335,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
189,False,"{'a': 0.9, 'e': 0.08432218555999077}",30,7,29.00378175306152,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
190,False,"{'a': 0.9, 'e': 0.0832259971477109}",20,7,20.359444636713196,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
191,False,"{'a': 0.9, 'e': 0.08214405918479065}",25,8,-7.585847682216418,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
192,False,"{'a': 0.9, 'e': 0.08107618641538837}",25,11,16.77707144985638,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
193,False,"{'a': 0.9, 'e': 0.08002219599198832}",20,11,14.923239873444642,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
194,False,"{'a': 0.9, 'e': 0.07898190744409246}",20,14,9.834874835246554,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
195,False,"{'a': 0.9, 'e': 0.07795514264731926}",25,0,26.284338868299912,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",1
196,False,"{'a': 0.9, 'e': 0.0769417257929041}",25,13,20.456379082803753,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
197,False,"{'a': 0.9, 'e': 0.07594148335759635}",20,10,-7.236458856100498,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
198,False,"{'a': 0.9, 'e': 0.07495424407394759}",20,15,8.18626741294824,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
199,False,"{'a': 0.9, 'e': 0.07397983890098626}",30,1,42.26519460092089,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 0}",1
200,False,"{'a': 0.9, 'e': 0.07301810099527344}",30,9,25.748518289407293,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
201,False,"{'a': 0.9, 'e': 0.07206886568233488}",20,0,28.327694646499655,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
202,False,"{'a': 0.9, 'e': 0.07113197042846453}",25,0,-17.323995231145748,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
203,False,"{'a': 0.9, 'e': 0.07020725481289448}",20,12,15.079783978926798,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
204,False,"{'a': 0.9, 'e': 0.06929456050032685}",20,3,25.901009779540182,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
205,False,"{'a': 0.9, 'e': 0.0683937312138226}",20,6,-28.550738943792812,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
206,False,"{'a': 0.9, 'e': 0.06750461270804291}",30,22,13.990662711979834,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
207,False,"{'a': 0.9, 'e': 0.06662705274283835}",20,8,15.90731048156234,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
208,False,"{'a': 0.9, 'e': 0.06576090105718145}",20,1,26.59275842664761,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
209,False,"{'a': 0.9, 'e': 0.06490600934343808}",20,0,-54.15198714353687,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
210,False,"{'a': 0.9, 'e': 0.06406223122197338}",25,15,14.47703102365664,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
211,False,"{'a': 0.9, 'e': 0.06322942221608772}",20,11,15.883730348152064,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
212,False,"{'a': 0.9, 'e': 0.06240743972727859}",25,18,0.0038407065658767614,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
213,False,"{'a': 0.9, 'e': 0.061596143010823966}",25,15,9.142133047864164,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
214,False,"{'a': 0.9, 'e': 0.06079539315168325}",20,2,17.508765931003442,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
215,False,"{'a': 0.9, 'e': 0.06000505304071137}",25,11,10.116799511040435,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
216,False,"{'a': 0.9, 'e': 0.05922498735118212}",25,6,33.783614672502324,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
217,False,"{'a': 0.9, 'e': 0.05845506251561675}",25,5,32.82110800161611,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
218,False,"{'a': 0.9, 'e': 0.05769514670291374}",20,9,19.79179353268374,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
219,False,"{'a': 0.9, 'e': 0.056945109795775856}",20,9,15.655348452081173,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
220,False,"{'a': 0.9, 'e': 0.056204823368430766}",30,20,20.78999009750843,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
221,False,"{'a': 0.9, 'e': 0.05547416066464116}",20,13,10.946679362637937,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
222,False,"{'a': 0.9, 'e': 0.05475299657600083}",20,6,26.5993204769143,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
223,False,"{'a': 0.9, 'e': 0.054041207620512816}",30,7,31.5782203900261,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 0}",1
224,False,"{'a': 0.9, 'e': 0.053338671921446146}",25,0,30.630615246973132,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
225,False,"{'a': 0.9, 'e': 0.05264526918646734}",35,23,25.61157084694563,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
226,False,"{'a': 0.9, 'e': 0.051960880687043264}",30,3,30.029221343407308,"{0: 26, 1: 0, 2: 1, 3: 0, 4: 0}",1
227,False,"{'a': 0.9, 'e': 0.0512853892381117}",30,10,22.513227442703897,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
228,False,"{'a': 0.9, 'e': 0.05061867917801625}",25,15,20.356770391509766,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
229,False,"{'a': 0.9, 'e': 0.049960636348702035}",20,10,-4.263632544677813,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
230,False,"{'a': 0.9, 'e': 0.04931114807616891}",20,9,22.18677708250749,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
231,False,"{'a': 0.9, 'e': 0.048670103151178715}",20,14,12.31804436303998,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
232,False,"{'a': 0.9, 'e': 0.04803739181021339}",20,14,9.42998942332427,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
233,False,"{'a': 0.9, 'e': 0.047412905716680616}",20,6,1.7437969029278597,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
234,False,"{'a': 0.9, 'e': 0.04679653794236377}",20,6,-25.57494572053503,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 1}",1
235,False,"{'a': 0.9, 'e': 0.04618818294911304}",20,2,13.760987939252784,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
236,False,"{'a': 0.9, 'e': 0.04558773657077457}",20,2,23.05978253384123,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
237,False,"{'a': 0.9, 'e': 0.0449950959953545}",20,8,18.877135591897247,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
238,False,"{'a': 0.9, 'e': 0.04441015974741489}",20,14,11.005928891156437,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
239,False,"{'a': 0.9, 'e': 0.043832827670698495}",20,1,20.936122547974392,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
240,False,"{'a': 0.9, 'e': 0.04326300091097941}",20,14,12.433065440270472,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
241,False,"{'a': 0.9, 'e': 0.04270058189913668}",30,3,25.66161278770852,"{0: 26, 1: 0, 2: 1, 3: 0, 4: 0}",1
242,False,"{'a': 0.9, 'e': 0.04214547433444791}",20,3,24.776945386020095,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
243,False,"{'a': 0.9, 'e': 0.04159758316810008}",30,20,16.33738785243648,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
244,False,"{'a': 0.9, 'e': 0.041056814586914785}",20,15,11.88930467209438,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
245,False,"{'a': 0.9, 'e': 0.04052307599728489}",20,5,26.010590734726403,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
246,False,"{'a': 0.9, 'e': 0.03999627600932019}",25,15,11.467394214478462,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
247,False,"{'a': 0.9, 'e': 0.03947632442119903}",25,18,10.404900595026092,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
248,False,"{'a': 0.9, 'e': 0.03896313220372344}",20,11,15.406092480402963,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
249,False,"{'a': 0.9, 'e': 0.03845661148507503}",25,10,17.244147902009946,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
250,False,"{'a': 0.9, 'e': 0.037956675535769056}",20,3,28.323693351418626,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
251,False,"{'a': 0.9, 'e': 0.03746323875380406}",35,21,19.564688795641157,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
252,False,"{'a': 0.9, 'e': 0.036976216650004605}",25,12,23.797236504584337,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
253,False,"{'a': 0.9, 'e': 0.036495525833554546}",20,11,18.54565295494251,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
254,False,"{'a': 0.9, 'e': 0.036021083997718334}",20,7,-19.16354345150651,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
255,False,"{'a': 0.9, 'e': 0.035552809905747995}",25,0,-14.170922847468608,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
256,False,"{'a': 0.9, 'e': 0.03509062337697327}",20,14,12.164487827946905,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
257,False,"{'a': 0.9, 'e': 0.03463444527307262}",20,6,27.190012642358727,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
258,False,"{'a': 0.9, 'e': 0.03418419748452268}",30,15,22.556638965100937,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
259,False,"{'a': 0.9, 'e': 0.033739802917223886}",25,5,30.99236686069961,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
260,False,"{'a': 0.9, 'e': 0.03330118547929998}",25,5,35.55657947615496,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
261,False,"{'a': 0.9, 'e': 0.032868270068069076}",30,19,1.520160003205767,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
262,False,"{'a': 0.9, 'e': 0.03244098255718418}",35,2,45.77238153083513,"{0: 32, 1: 0, 2: 1, 3: 0, 4: 0}",1
263,False,"{'a': 0.9, 'e': 0.03201924978394079}",20,13,12.300849662597797,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
264,False,"{'a': 0.9, 'e': 0.031602999536749554}",20,14,8.94965260500715,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
265,False,"{'a': 0.9, 'e': 0.03119216054277181}",20,5,21.44181721439876,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
266,False,"{'a': 0.9, 'e': 0.030786662455715777}",25,13,21.64623682358114,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
267,False,"{'a': 0.9, 'e': 0.03038643584379147}",25,15,16.43646202915335,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
268,False,"{'a': 0.9, 'e': 0.029991412177822183}",25,0,37.76407293763491,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
269,False,"{'a': 0.9, 'e': 0.029601523819510495}",20,0,16.239530984331324,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
270,False,"{'a': 0.9, 'e': 0.029216704009856858}",25,15,17.446393925283243,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
271,False,"{'a': 0.9, 'e': 0.028836886857728717}",25,7,33.36165689798016,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
272,False,"{'a': 0.9, 'e': 0.028462007328578242}",25,0,25.992978677507644,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
273,False,"{'a': 0.9, 'e': 0.028092001233306723}",20,13,15.804088492496797,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
274,False,"{'a': 0.9, 'e': 0.027726805217273734}",20,0,30.578249853792098,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
275,False,"{'a': 0.9, 'e': 0.027366356749449174}",25,13,22.858480279559284,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
276,False,"{'a': 0.9, 'e': 0.027010594111706334}",25,15,19.942848175441497,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
277,False,"{'a': 0.9, 'e': 0.026659456388254153}",30,16,23.17342278257695,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
278,False,"{'a': 0.9, 'e': 0.026312883455206847}",20,3,17.32922493000318,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
279,False,"{'a': 0.9, 'e': 0.025970815970289156}",25,12,12.578702258429997,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
280,False,"{'a': 0.9, 'e': 0.025633195362675398}",20,0,32.676354439603685,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
281,False,"{'a': 0.9, 'e': 0.025299963822960618}",25,16,14.07516748277848,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
282,False,"{'a': 0.9, 'e': 0.02497106429326213}",25,3,39.453933670304735,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
283,False,"{'a': 0.9, 'e': 0.024646440457449723}",25,17,6.648927620450898,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
284,False,"{'a': 0.9, 'e': 0.024326036731502874}",25,0,34.81905480268152,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
285,False,"{'a': 0.9, 'e': 0.024009798253993336}",20,8,21.348310132330532,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
286,False,"{'a': 0.9, 'e': 0.02369767087669142}",25,7,24.453525962956213,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
287,False,"{'a': 0.9, 'e': 0.023389601155294433}",25,9,25.4038918127602,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
288,False,"{'a': 0.9, 'e': 0.023085536340275607}",25,20,7.930894847181339,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
289,False,"{'a': 0.9, 'e': 0.02278542436785202}",20,0,29.16037536553545,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
290,False,"{'a': 0.9, 'e': 0.022489213851069945}",20,12,15.692801706712482,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
291,False,"{'a': 0.9, 'e': 0.022196854071006036}",25,12,22.655495968599144,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
292,False,"{'a': 0.9, 'e': 0.02190829496808296}",25,11,25.937152646951784,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
293,False,"{'a': 0.9, 'e': 0.02162348713349788}",20,5,25.8559943395174,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
294,False,"{'a': 0.9, 'e': 0.02134238180076241}",25,12,23.661355966044336,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
295,False,"{'a': 0.9, 'e': 0.021064930837352495}",20,0,29.18487879315866,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
296,False,"{'a': 0.9, 'e': 0.020791086736466912}",25,7,28.509250168485078,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
297,False,"{'a': 0.9, 'e': 0.020520802608892844}",30,12,19.075401335296498,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
298,False,"{'a': 0.9, 'e': 0.020254032174977236}",20,0,32.32462733400406,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
299,False,"{'a': 0.9, 'e': 0.019990729756702533}",25,7,22.56524173060568,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
300,False,"{'a': 0.9, 'e': 0.0197308502698654}",25,5,-21.155475427639,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",1
301,False,"{'a': 0.9, 'e': 0.01947434921635715}",25,12,21.614181959576012,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
302,False,"{'a': 0.9, 'e': 0.019221182676544508}",25,18,13.018556408892904,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
303,False,"{'a': 0.9, 'e': 0.018971307301749427}",20,0,26.553139506794178,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
304,False,"{'a': 0.9, 'e': 0.018724680306826686}",25,0,35.68516279704497,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
305,False,"{'a': 0.9, 'e': 0.018481259462837938}",20,0,26.055968175257743,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
306,False,"{'a': 0.9, 'e': 0.018241003089821045}",20,6,24.23037764994801,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
307,False,"{'a': 0.9, 'e': 0.01800387004965337}",25,13,21.320479414497353,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
308,False,"{'a': 0.9, 'e': 0.017769819739007875}",30,13,31.168015434946284,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
309,False,"{'a': 0.9, 'e': 0.01753881208240077}",20,16,9.171971117420881,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
310,False,"{'a': 0.9, 'e': 0.017310807525329562}",20,13,11.611550076062175,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
311,False,"{'a': 0.9, 'e': 0.017085767027500278}",20,7,21.50767992567133,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
312,False,"{'a': 0.9, 'e': 0.016863652056142774}",30,17,25.211974279381884,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
313,False,"{'a': 0.9, 'e': 0.01664442457941292}",20,9,16.10021682777181,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
314,False,"{'a': 0.9, 'e': 0.01642804705988055}",20,11,16.58362009874804,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
315,False,"{'a': 0.9, 'e': 0.016214482448102103}",20,2,11.961226811236543,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
316,False,"{'a': 0.9, 'e': 0.016003694176276777}",20,3,31.16596381526256,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
317,False,"{'a': 0.9, 'e': 0.015795646151985178}",25,14,18.214077974983443,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
318,False,"{'a': 0.9, 'e': 0.01559030275200937}",25,10,28.573368197087905,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
319,False,"{'a': 0.9, 'e': 0.015387628816233248}",20,8,23.38420241878458,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
320,False,"{'a': 0.9, 'e': 0.015187589641622215}",35,26,15.518667202939165,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
321,False,"{'a': 0.9, 'e': 0.014990150976281126}",30,14,31.887295223758475,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
322,False,"{'a': 0.9, 'e': 0.014795279013589471}",25,13,18.49236145146833,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
323,False,"{'a': 0.9, 'e': 0.014602940386412808}",25,15,21.261952289853745,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
324,False,"{'a': 0.9, 'e': 0.01441310216138944}",25,16,15.048797604600823,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
325,False,"{'a': 0.9, 'e': 0.014225731833291377}",30,13,10.618123423376145,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
326,False,"{'a': 0.9, 'e': 0.014040797319458589}",25,0,37.58874983551082,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
327,False,"{'a': 0.9, 'e': 0.013858266954305627}",30,8,38.89063663829054,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
328,False,"{'a': 0.9, 'e': 0.013678109483899654}",30,15,15.26869541820756,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
329,False,"{'a': 0.9, 'e': 0.013500294060608958}",35,14,32.97953572801977,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
330,False,"{'a': 0.9, 'e': 0.013324790237821042}",35,22,21.117381747235026,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
331,False,"{'a': 0.9, 'e': 0.013151567964729369}",20,10,13.04847165655196,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
332,False,"{'a': 0.9, 'e': 0.012980597581187886}",20,2,29.1955037562827,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
333,False,"{'a': 0.9, 'e': 0.012811849812632444}",30,6,41.11490601134682,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
334,False,"{'a': 0.9, 'e': 0.012645295765068221}",20,14,13.328916716083969,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
335,False,"{'a': 0.9, 'e': 0.012480906920122334}",25,20,8.59714959237021,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
336,False,"{'a': 0.9, 'e': 0.012318655130160743}",25,10,24.70241610945339,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
337,False,"{'a': 0.9, 'e': 0.012158512613468652}",20,16,7.599494521314008,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
338,False,"{'a': 0.9, 'e': 0.012000451949493559}",20,8,23.596213609618466,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
339,False,"{'a': 0.9, 'e': 0.011844446074150142}",20,5,28.014032416589032,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
340,False,"{'a': 0.9, 'e': 0.01169046827518619}",20,7,28.546342018252506,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
341,False,"{'a': 0.9, 'e': 0.01153849218760877}",20,2,-14.400930894066832,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
342,False,"{'a': 0.9, 'e': 0.011388491789169855}",35,22,23.440606096066087,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
343,False,"{'a': 0.9, 'e': 0.011240441395910647}",35,22,23.384592198238945,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
344,False,"{'a': 0.9, 'e': 0.011094315657763807}",25,4,33.46073239860105,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
345,False,"{'a': 0.9, 'e': 0.010950089554212878}",25,15,17.521193986002523,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
346,False,"{'a': 0.9, 'e': 0.010807738390008112}",25,3,32.85820426827001,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 0}",1
347,False,"{'a': 0.9, 'e': 0.010667237790938006}",20,0,5.807091535802003,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",1
348,False,"{'a': 0.9, 'e': 0.010528563699655812}",25,6,32.59174938239996,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
349,False,"{'a': 0.9, 'e': 0.010391692371560287}",20,15,8.945777715227324,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
350,False,"{'a': 0.9, 'e': 0.010256600370730003}",20,8,21.765052505979977,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
351,False,"{'a': 0.9, 'e': 0.010123264565910513}",30,16,29.95065027616341,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
352,False,"{'a': 0.9, 'e': 0.009991662126553676}",25,3,-18.578610454093784,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 1}",1
1,True,"{'a': 0, 'e': 0}",25,7,34.39716481778732,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",30,19,15.2202341787363,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,15,18.7118984162302,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,3,37.97526016531669,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,15,15.375535461835156,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,9,19.042364150979047,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",35,16,28.382757988372113,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,2,32.434838914960785,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",30,4,37.4133481986508,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",30,14,26.748232691074364,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
